,Unnamed: 0,industry_freq,sub_freq,type_freq,city_freq,actual_amount,industry_vertical,sub_vertical,city_location,investment_type,amount_in_usd,predicted_amount,predicted_amount_log,actual_amount_log,funded,Funded
26,1523,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.102359208523592,3500000.0,technology,cartracking&safetysystem,gurgaon,privateequity,3500000.0,4212118.421932509,15.253476504619568,15.068273812173889,True,True
27,2317,0.0003805175038051,0.1997716894977169,0.4284627092846271,0.0357686453576864,70000.0,developerportfolioshowcaseplatform,unknown,hyderabad,seedfunding,70000.0,407003.6357714562,12.916579854461723,11.156264806643742,True,True
28,781,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.1411719939117199,1000000.0,consumerinternet,onlinefitnessmarketplace,newdelhi,privateequity,1000000.0,4129568.029008727,15.23368360816263,13.815511557963774,True,True
29,1617,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.3002283105022831,5200000.0,technology,payroll&hrsoftwaredeveloper,bangalore,privateequity,5200000.0,4040270.306255439,15.211822402696258,15.46416937585933,True,True
30,190,0.3569254185692542,0.0015220700152207,0.0494672754946727,0.0190258751902587,1000000.0,consumerinternet,onlinefooddelivery,gurugram,seed/angelfunding,1000000.0,789677.1790368945,13.579380773138466,13.815511557963774,True,True
31,366,0.1137747336377473,0.0003805175038051,0.0098934550989345,0.0190258751902587,935089.0,ecommerce,onlineselling,gurugram,debtfunding,935089.0,3739492.5502246697,15.13446074584293,13.74839806032294,True,True
32,1731,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.1411719939117199,475000.0,consumerinternet,celebrityentertainmentcontestapp,newdelhi,seedfunding,475000.0,221967.74857927996,12.31029187877968,13.07107218827772,True,True
33,1847,0.1137747336377473,0.0003805175038051,0.4585235920852359,0.1411719939117199,8000000.0,ecommerce,ecommercesaasplatform,newdelhi,privateequity,8000000.0,3192894.27263688,14.976438672110124,15.894952224644102,True,True
34,1679,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.3002283105022831,500000.0,consumerinternet,webvideostreamingplatform,bangalore,seedfunding,500000.0,388657.6535537877,12.870456740083428,13.122365377402328,True,True
35,59,0.1137747336377473,0.0003805175038051,0.0007610350076103,0.102359208523592,12500000.0,ecommerce,grocerydelivery,gurgaon,seriesf,12500000.0,11319062.906952605,16.241998933587894,16.341239282272525,True,True
36,1924,0.1137747336377473,0.0003805175038051,0.4284627092846271,0.1411719939117199,1000000.0,ecommerce,petproductsetailer,newdelhi,seedfunding,1000000.0,201392.067953468,12.213013839376664,13.815511557963774,True,True
37,1722,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.1411719939117199,89000.0,consumerinternet,fashiondiscoveryplatform,newdelhi,seedfunding,89000.0,221967.74857927996,12.31029187877968,11.39640288460621,True,True
38,2255,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.0403348554033485,12500000.0,sales&productivitysoftware,unknown,pune,privateequity,12500000.0,4885784.823076915,15.40184069502057,16.341239282272525,True,True
39,1097,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.3002283105022831,4000000.0,consumerinternet,onlinetransportvehiclebookingplatform,bangalore,privateequity,4000000.0,4664789.236367078,15.35555342584362,15.201805169084134,True,True
40,252,0.0277777777777777,0.0003805175038051,0.4585235920852359,0.3002283105022831,12500000.0,healthcare,datadrivenintelligencesolutionsplatform,bangalore,privateequity,12500000.0,4908192.696213047,15.406416549440282,16.341239282272525,True,True
41,2192,0.0003805175038051,0.1997716894977169,0.4284627092846271,0.3002283105022831,1000000.0,grocerydeliveryplatform,unknown,bangalore,seedfunding,1000000.0,520682.9585600806,13.162898531225078,13.815511557963774,True,True
42,110,0.0015220700152207,0.0003805175038051,0.0007610350076103,0.0190258751902587,5000000.0,transportation,busaggregation,gurugram,ventureround,5000000.0,5052745.056291,15.435442426983265,15.424948670398354,True,True
43,668,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.3002283105022831,12500000.0,technology,mpossolutionsprovider,bangalore,privateequity,12500000.0,4040270.306255439,15.211822402696258,16.341239282272525,True,True
44,905,0.0083713850837138,0.0003805175038051,0.4585235920852359,0.0403348554033485,6300000.0,food&beverage,qsrchainandonlinefooddelivery,pune,privateequity,6300000.0,4525197.096170724,15.325171912317204,15.656060350091908,True,True
45,264,0.0277777777777777,0.0003805175038051,0.4585235920852359,0.3002283105022831,4200000.0,healthcare,doctorconsultationapp,bangalore,privateequity,4200000.0,4908192.696213047,15.406416549440282,15.250595321348806,True,True
46,2619,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.0403348554033485,2300000.0,restaurantcustomerengagementplatform,unknown,pune,privateequity,2300000.0,4885784.823076915,15.40184069502057,14.648420115681892,True,True
